date,state,fips,cases,deaths
3/5/2023,Oklahoma,40,1287378,16417
3/5/2023,Oregon,41,961523,9366
3/5/2023,Pennsylvania,42,3520813,50360
3/5/2023,Puerto Rico,72,1133539,5810
3/5/2023,Rhode Island,44,460045,3896
3/5/2023,South Carolina,45,1833731,20022
3/5/2023,South Dakota,46,278489,3202
3/5/2023,Tennessee,47,2446944,28933
3/5/2023,Texas,48,8337836,94161
3/5/2023,Utah,49,1089173,5287
3/5/2023,Vermont,50,152272,925
3/5/2023,Virgin Islands,78,24780,130
3/5/2023,Virginia,51,2289934,23738
3/5/2023,Washington,53,1928913,15731
3/5/2023,West Virginia,54,641856,8062
3/5/2023,Wisconsin,55,2003165,16395
3/5/2023,Wyoming,56,185159,2002
3/6/2023,Alabama,1,1642062,21511
3/6/2023,Alaska,2,307377,1438
3/6/2023,American Samoa,60,8320,34
3/6/2023,Arizona,4,2440294,33077
3/6/2023,Arkansas,5,1005930,13005
3/6/2023,California,6,12111875,103743
3/6/2023,Colorado,8,1764429,14142
3/6/2023,Connecticut,9,976156,12196
3/6/2023,Delaware,10,330793,3324
3/6/2023,District of Columbia,11,177714,1430
3/6/2023,Florida,12,7531055,86850
3/6/2023,Georgia,13,2976487,40918
3/6/2023,Guam,66,61951,421
3/6/2023,Hawaii,15,370946,1831
3/6/2023,Idaho,16,520001,5414
3/6/2023,Illinois,17,4080183,41443
3/6/2023,Indiana,18,2047622,26091
3/6/2023,Iowa,19,902075,10702
3/6/2023,Kansas,20,936456,10192
3/6/2023,Kentucky,21,1718471,18224
3/6/2023,Louisiana,22,1570671,18738
3/6/2023,Maine,23,316760,2935
3/6/2023,Maryland,24,1363863,16561
3/6/2023,Massachusetts,25,2220962,24249
3/6/2023,Michigan,26,3047915,42041
3/6/2023,Minnesota,27,1775264,14820
3/6/2023,Mississippi,28,989282,13379
3/6/2023,Missouri,29,1784974,23852
3/6/2023,Montana,30,329637,3675
3/6/2023,Nebraska,31,567608,5042
3/6/2023,Nevada,32,888983,12053
3/6/2023,New Hampshire,33,378089,3002
3/6/2023,New Jersey,34,3046838,36029
